62	141		
500			
	4.4	2.17E+03	2.45E-07
	4.5	1.97E+03	2.56E-07
	4.6	1.78E+03	2.68E-07
	4.7	1.62E+03	2.80E-07
	4.8	1.47E+03	2.91E-07
	4.9	1.34E+03	3.04E-07
	5	1.22E+03	3.16E-07
	5.1	1.12E+03	3.29E-07
	5.2	1.02E+03	3.41E-07
	5.3	9.35E+02	3.54E-07
	5.4	8.57E+02	3.68E-07
	5.5	7.86E+02	3.81E-07
	5.6	7.22E+02	3.95E-07
	5.7	6.64E+02	4.09E-07
	5.8	6.12E+02	4.23E-07
	5.9	5.63E+02	4.37E-07
	6	5.20E+02	4.52E-07
	6.1	4.80E+02	4.67E-07
	6.2	4.43E+02	4.82E-07
	6.3	4.10E+02	4.97E-07
	6.4	3.79E+02	5.12E-07
	6.5	3.51E+02	5.28E-07
	6.6	3.25E+02	5.43E-07
	6.7	3.01E+02	5.59E-07
	6.8	2.79E+02	5.75E-07
	6.9	2.59E+02	5.92E-07
	7	2.41E+02	6.08E-07
	7.1	2.24E+02	6.25E-07
	7.2	2.08E+02	6.42E-07
	7.3	1.94E+02	6.59E-07
	7.4	1.80E+02	6.76E-07
	7.5	1.68E+02	6.94E-07
	7.6	1.56E+02	7.11E-07
	7.7	1.46E+02	7.29E-07
	7.8	1.36E+02	7.47E-07
	7.9	1.27E+02	7.65E-07
	8	1.18E+02	7.83E-07
	8.1	1.10E+02	8.02E-07
	8.2	1.03E+02	8.20E-07
	8.3	9.60E+01	8.39E-07
	8.4	8.97E+01	8.58E-07
	8.5	8.38E+01	8.77E-07
	8.6	7.83E+01	8.96E-07
	8.7	7.32E+01	9.15E-07
	8.8	6.85E+01	9.35E-07
	8.9	6.40E+01	9.54E-07
	9	5.99E+01	9.74E-07
	9.1	5.60E+01	9.94E-07
	9.2	5.24E+01	1.01E-06
	9.3	4.91E+01	1.03E-06
	9.4	4.59E+01	1.05E-06
	9.5	4.30E+01	1.07E-06
	9.6	4.03E+01	1.10E-06
	9.7	3.77E+01	1.12E-06
	9.8	3.53E+01	1.14E-06
	9.9	3.31E+01	1.16E-06
	10	3.10E+01	1.18E-06
	10.1	2.90E+01	1.20E-06
	10.2	2.72E+01	1.22E-06
	10.3	2.55E+01	1.24E-06
	10.4	2.39E+01	1.26E-06
	10.5	2.24E+01	1.28E-06
	10.6	2.10E+01	1.30E-06
	10.7	1.97E+01	1.33E-06
	10.8	1.84E+01	1.35E-06
	10.9	1.73E+01	1.37E-06
	11	1.62E+01	1.39E-06
	11.1	1.52E+01	1.41E-06
	11.2	1.42E+01	1.43E-06
	11.3	1.33E+01	1.46E-06
	11.4	1.25E+01	1.48E-06
	11.5	1.17E+01	1.50E-06
	11.6	1.10E+01	1.52E-06
	11.7	1.03E+01	1.54E-06
	11.8	9.62E+00	1.56E-06
	11.9	9.01E+00	1.59E-06
	12	8.44E+00	1.61E-06
	12.1	7.90E+00	1.63E-06
	12.2	7.40E+00	1.65E-06
	12.3	6.93E+00	1.67E-06
	12.4	6.49E+00	1.69E-06
	12.5	6.07E+00	1.72E-06
	12.6	5.68E+00	1.74E-06
	12.7	5.32E+00	1.76E-06
	12.8	4.98E+00	1.78E-06
	12.9	4.65E+00	1.80E-06
	13	4.35E+00	1.82E-06
	13.1	4.07E+00	1.84E-06
	13.2	3.81E+00	1.86E-06
	13.3	3.56E+00	1.88E-06
	13.4	3.32E+00	1.90E-06
	13.5	3.11E+00	1.92E-06
	13.6	2.90E+00	1.95E-06
	13.7	2.71E+00	1.97E-06
	13.8	2.53E+00	1.98E-06
	13.9	2.36E+00	2.00E-06
	14	2.20E+00	2.02E-06
	14.1	2.05E+00	2.04E-06
	14.2	1.92E+00	2.06E-06
	14.3	1.79E+00	2.08E-06
	14.4	1.66E+00	2.10E-06
	14.5	1.55E+00	2.12E-06
	14.6	1.44E+00	2.13E-06
	14.7	1.34E+00	2.15E-06
	14.8	1.25E+00	2.17E-06
	14.9	1.16E+00	2.18E-06
	15	1.08E+00	2.20E-06
650			
	1	8.41E+05	1.33E-08
	1.1	5.73E+05	1.63E-08
	1.2	4.04E+05	1.96E-08
	1.3	2.92E+05	2.33E-08
	1.4	2.17E+05	2.73E-08
	1.5	1.64E+05	3.15E-08
	1.6	1.26E+05	3.62E-08
	1.7	9.86E+04	4.11E-08
	1.8	7.81E+04	4.63E-08
