E=550		
13.8	4.76E-01	-1.44E-06
14	3.76E-01	-1.56E-06
14.2	2.97E-01	-1.73E-06
14.4	2.38E-01	-2.04E-06
14.6	1.93E-01	-2.25E-06
14.8	1.59E-01	-2.35E-06
15	1.36E-01	-2.52E-06
E=900		
2	4.43E+05	-1.12E-07
2.2	2.92E+05	2.81E-07
2.4	1.97E+05	7.58E-08
2.6	1.36E+05	-3.41E-07
2.8	9.57E+04	-3.44E-08
3	6.82E+04	2.20E-07
3.2	4.92E+04	-1.44E-07
3.4	3.58E+04	-2.69E-07
3.6	2.62E+04	4.99E-08
3.8	1.93E+04	2.54E-08
4	1.43E+04	-2.69E-07
4.2	1.07E+04	-1.88E-07
4.4	7.96E+03	3.28E-09
4.6	5.95E+03	-1.71E-07
4.8	4.46E+03	-3.28E-07
5	3.34E+03	-1.70E-07
5.2	2.50E+03	-1.33E-07
5.4	1.88E+03	-3.50E-07
5.6	1.41E+03	-3.76E-07
5.8	1.06E+03	-2.37E-07
6	7.94E+02	-3.38E-07
6.2	5.96E+02	-5.21E-07
6.4	4.48E+02	-4.58E-07
6.6	3.38E+02	-4.08E-07
6.8	2.56E+02	-5.94E-07
7	1.94E+02	-6.92E-07
7.2	1.49E+02	-6.02E-07
7.4	1.15E+02	-6.60E-07
7.6	8.94E+01	-8.30E-07
7.8	7.06E+01	-8.22E-07
8	5.65E+01	-7.64E-07
8.2	4.58E+01	-8.50E-07
8.4	3.77E+01	-9.03E-07
8.6	3.15E+01	-8.37E-07
8.8	2.66E+01	-8.11E-07
9	2.26E+01	-8.31E-07
9.2	1.94E+01	-7.98E-07
9.4	1.68E+01	-7.49E-07
9.6	1.45E+01	-7.24E-07
9.8	1.26E+01	-6.91E-07
10	1.08E+01	-6.63E-07
10.2	9.35E+00	-6.45E-07
10.4	8.02E+00	-6.05E-07
10.6	6.84E+00	-5.74E-07
10.8	5.81E+00	-5.83E-07
11	4.89E+00	-5.69E-07
11.2	4.09E+00	-5.21E-07
11.4	3.39E+00	-5.29E-07
11.6	2.79E+00	-5.66E-07
11.8	2.27E+00	-5.37E-07
12	1.84E+00	-5.11E-07
12.2	1.47E+00	-5.79E-07
12.4	1.17E+00	-6.24E-07
12.6	9.19E-01	-5.87E-07
12.8	7.19E-01	-6.34E-07
13	5.60E-01	-7.76E-07
13.2	4.36E-01	-8.17E-07
13.4	3.40E-01	-8.23E-07
13.6	2.68E-01	-9.98E-07
13.8	2.14E-01	-1.18E-06
14	1.76E-01	-1.19E-06
14.2	1.48E-01	-1.26E-06
14.4	1.29E-01	-1.43E-06
14.6	1.16E-01	-1.45E-06
14.8	1.07E-01	-1.39E-06
15	1.01E-01	-1.41E-06
E=950		
2	3.90E+05	-1.01E-07
2.2	2.55E+05	2.73E-07
2.4	1.71E+05	7.17E-08
2.6	1.17E+05	-3.40E-07
2.8	8.18E+04	-3.37E-08
